"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Metsähallitus","Hallan Jääkäripirtti",7191287,3575013,"64.810603620","28.575402385"
"Metsähallitus","Vajosuon vuokratupa, Kurjenrahkan kp",6739686,3246880,"60.686900989","22.361711672"
"Metsähallitus","Poika-aho vuokratupa",6971818,3420555,"62.841506850","25.437178718"
"Metsähallitus","Isosuon turvelato, Puurijärvi-Isosuon kp",6801673,3263184,"61.251554914","22.582801861"
"Metsähallitus","Tiaisentorppa pirtti Alanteen tila",7213937,3518870,"65.021582017","27.396657980"
"Metsähallitus","Louejoki niittykämppä",7516061,3504645,"67.731395041","27.105722770"
"Metsähallitus","Korteniemen opastuslato",6731133,3330348,"60.654420538","23.894303501"
"Metsähallitus","Aulanko kioskirakennus",6770721,3362557,"61.021717225","24.454508454"
"Metsähallitus","Teijon retkeilyalueen luontotalo",6684560,3274947,"60.210194997","22.936257681"
"Metsähallitus","Pahakuru autiotupa",7574325,3372622,"68.225253528","23.919092703"
"Metsähallitus","Iso Hiisijärvi autiotupa",7044118,3403165,"63.485577197","25.053003415"
"Metsähallitus","Erakko Eemelin maja",7330018,3536794,"66.061067710","27.808504105"
"Metsähallitus","Pieni Hiisijärvi, kämppä",7043885,3403933,"63.483696810","25.068548233"
"Metsähallitus","Vehoniemen näkötorni",6814506,3348318,"61.408944780","24.156267536"
"Metsähallitus","Vahvasen autiotupa",6969568,3372431,"62.807697338","24.495126512"
"Metsähallitus","Ruostevaaran autiotupa",7465483,3384081,"67.255388691","24.309631325"
"Metsähallitus","Saarijärvi autiotupa",7049081,3403777,"63.530241371","25.062263402"
"Metsähallitus","Miilumaja: ns. Lönnrothin kämppä",6943625,3352674,"62.567806435","24.130876253"
"Metsähallitus","Bengtskärin majakan näyttely",6632006,3247069,"59.723627685","22.499369160"
"Metsähallitus","Isoniemi Varaustupa",7291674,3534358,"65.717495787","27.744686753"
"Metsähallitus","Hietaselän kämppä",7437578,3432885,"67.020232145","25.456002071"
"Metsähallitus","Hietajärvi autiotupa",7004794,3716651,"63.081224437","31.286344303"
"Metsähallitus","Etiäinen",7379967,3443142,"66.505866046","25.718445926"
"Metsähallitus","Jurmon luontotupa",6647459,3196718,"59.828066651","21.585892719"
"Suomen Latu ry","Oittaan ulkoilukeskus ja kartano",6683430,3370450,"60.241646617","24.657862635"
"Suomen Latu ry","Paloheinän ulkoilukeskus",6684483,3384841,"60.255420614","24.916885127"
"Suomen Latu ry","Tunturikeskus Kiilopää",7584786,3519202,"68.346955604","27.461955530"
"www.kilpisjarvi.info","Kilpisjärven retkeilykeskus",7675405,3252950,"69.047854470","20.798543287"
"www.ruunaa.fi","Ruunaan retkeilykeskus",7036720,3672731,"63.390734091","30.452809528"
"Kansanterveyslaitos, SYKE","Kylpyläsaari",7115886,3420175,"64.133356844","25.357160748"
"Kansanterveyslaitos, SYKE","Kylpylä",6858534,3290477,"61.776188548","23.025452050"
"Kansanterveyslaitos, SYKE","Tervanokka",6707387,3394566,"60.463511960","25.080377071"
"Kansanterveyslaitos, SYKE","Uimala, Jukajärvi",6865236,3545636,"61.891165066","27.864622718"
"Kansanterveyslaitos, SYKE","Lammaskallio",6688256,3358372,"60.280892925","24.436649529"
"Kansanterveyslaitos, SYKE","Storträsk",6678485,3352618,"60.191243325","24.339875954"
"Kansanterveyslaitos, SYKE","Tampaja, Haapajärvi",6682977,3357762,"60.233347101","24.429351344"
"Kansanterveyslaitos, SYKE","Kärringsundsbyn",6704003,3087431,"60.237128301","19.539186464"
"Kansanterveyslaitos, SYKE","Degersand",6694461,3089609,"60.154399288","19.597428987"
"Kansanterveyslaitos, SYKE","Bambölevik",6702338,3104936,"60.239642729","19.855922437"
"Kansanterveyslaitos, SYKE","Linikkala",6750867,3317177,"60.825423210","23.635424465"
"Kansanterveyslaitos, SYKE","Kihtersuo",6770568,3364370,"61.020973587","24.488114780"
"Kansanterveyslaitos, SYKE","Ahvenisto",6767574,3360498,"60.992780564","24.418760343"
"Kansanterveyslaitos, SYKE","Tervaniemi",6764810,3358360,"60.967239970","24.381337442"
"Kansanterveyslaitos, SYKE","Bovik",6705796,3096735,"60.262399874","19.702188814"
"Kansanterveyslaitos, SYKE","Silversand",6644482,3275882,"59.851874342","22.996797863"
"Kansanterveyslaitos, SYKE","Kultakoukku",6810861,3240899,"61.319578038","22.156425436"
"Kansanterveyslaitos, SYKE","Pappilanaro",6786848,3368705,"61.168408927","24.556974857"
"Kansanterveyslaitos, SYKE","Munkkiniemi",6678499,3381303,"60.200732238","24.856540730"
"Kansanterveyslaitos, SYKE","Kangasjärvi, leir.",6905829,3239942,"62.167963559","22.002567915"
"Kansanterveyslaitos, SYKE","Lamminjärvi",6938501,3281666,"62.486865556","22.759937944"
"Kansanterveyslaitos, SYKE","Säläisjärvi",6961025,3243335,"62.663669667","21.985360390"
"Kansanterveyslaitos, SYKE","Leirintäalue",7130447,3345716,"64.238534238","23.815257295"
"Kansanterveyslaitos, SYKE","Pitkäjärvi",7115501,3351714,"64.107296424","23.953454413"
"Kansanterveyslaitos, SYKE","Pöyliönjärvi",7402755,3518890,"66.714887540","27.424141322"
"Kansanterveyslaitos, SYKE","Ruokkeen lomakylä",6868614,3640666,"61.898250972","29.672918140"
"Kansanterveyslaitos, SYKE","Karjalan lomakeskus",6882111,3640477,"62.019297491","29.679920121"
"Kansanterveyslaitos, SYKE","Syväjärvi",6668157,3356868,"60.100153305","24.423663327"
"Kansanterveyslaitos, SYKE","Långvik",6668233,3364994,"60.103596835","24.569548084"
"Kansanterveyslaitos, SYKE","Valkealampi",6958610,3646945,"62.702391807","29.868028719"
"Kansanterveyslaitos, SYKE","Vierevänniemi",6965279,3644536,"62.763106270","29.826734940"
"Kansanterveyslaitos, SYKE","Onkilampi",6951511,3644871,"62.639597794","29.821497252"
"Kansanterveyslaitos, SYKE","Sompanen",6760786,3479798,"60.956048234","26.624012984"
"Kansanterveyslaitos, SYKE","Uimala",6806277,3325766,"61.325748922","23.742375785"
"Kansanterveyslaitos, SYKE","Timitranniemi",7026218,3650665,"63.306627654","30.002231844"
"Kansanterveyslaitos, SYKE","Kirkonkylä",6807919,3375218,"61.359472037","24.663890033"
"Kansanterveyslaitos, SYKE","Kolmikanta",6961118,3598303,"62.741073406","28.919794720"
"Kansanterveyslaitos, SYKE","Punkaharjun lomakeskus",6856366,3621206,"61.795122019","29.294851162"
"Kansanterveyslaitos, SYKE","Heikinpohja",6863183,3597889,"61.862931720","28.856756133"
"Kansanterveyslaitos, SYKE","Karkulahti",6861064,3603081,"61.842562548","28.954132988"
"Kansanterveyslaitos, SYKE","Koulukatu",6863401,3599745,"61.864406547","28.892120016"
"Kansanterveyslaitos, SYKE","Vuohimäki",6863473,3594687,"61.866339961","28.796103126"
"Kansanterveyslaitos, SYKE","Laajalahti",7083773,3303616,"63.799419573","23.009671256"
"Kansanterveyslaitos, SYKE","Öja",7087350,3299387,"63.829031971","22.919440787"
"Kansanterveyslaitos, SYKE","Molpe",6986744,3207719,"62.866749055","21.249164147"
"Kansanterveyslaitos, SYKE","Äijänniemi",6709364,3499538,"60.495079148","26.988511190"
"Kansanterveyslaitos, SYKE","Tampsan monttu",6711977,3494739,"60.518494234","26.901128277"
"Kansanterveyslaitos, SYKE","Santalahti",6702804,3492695,"60.436133987","26.864259510"
"Kansanterveyslaitos, SYKE","Likolampi",6765478,3426465,"60.991799159","25.638097360"
"Kansanterveyslaitos, SYKE","Pappisten Isojärvi",6750167,3274721,"60.797376421","22.857794319"
"Kansanterveyslaitos, SYKE","Lilla Holmen",6685817,3108508,"60.095932409","19.951662585"
"Kansanterveyslaitos, SYKE","Gröna Udden",6685359,3108572,"60.091913796","19.953679578"
"Kansanterveyslaitos, SYKE","Nabben",6687880,3109063,"60.114838687","19.957620912"
"Kansanterveyslaitos, SYKE","Mariebad",6687197,3108294,"60.108020425","19.945204410"
"Kansanterveyslaitos, SYKE","Riviera",6724416,3233203,"60.541465148","22.132953576"
"Kansanterveyslaitos, SYKE","Mellilän järvi",6745440,3276386,"60.756001485","22.893718651"
"Kansanterveyslaitos, SYKE","Pankalampi",6842415,3513512,"61.688868764","27.252052794"
"Kansanterveyslaitos, SYKE","Satama",7030378,3268144,"63.300352028","22.370481402"
"Kansanterveyslaitos, SYKE","Norrby",6698759,3240593,"60.316806328","22.300452311"
"Kansanterveyslaitos, SYKE","Lillsand",7070338,3279872,"63.665163744","22.548274434"
"Kansanterveyslaitos, SYKE","Kittholmen",7072372,3287023,"63.687749789","22.689512068"
"Kansanterveyslaitos, SYKE","Gumnäs",6669223,3307403,"60.089424929","23.535010045"
"Kansanterveyslaitos, SYKE","Olkijokisuu",7184302,3384365,"64.736360572","24.568653377"
"Kansanterveyslaitos, SYKE","Hietamaa",7175927,3407957,"64.668576743","25.068932688"
"Kansanterveyslaitos, SYKE","Västerviken",6702336,3114032,"60.248339738","20.018900588"
"Kansanterveyslaitos, SYKE","Sarapisto",6689828,3264651,"60.251533628","22.744950185"
"Kansanterveyslaitos, SYKE","Maansydänjärvi",7070890,3390428,"63.721864986","24.778923833"
"Kansanterveyslaitos, SYKE","Tauvo",7192184,3383628,"64.806739443","24.546790299"
"Kansanterveyslaitos, SYKE","Pyynikki",6824749,3326026,"61.491360016","23.729943726"
"Kansanterveyslaitos, SYKE","Satama",6790942,3333716,"61.191812072","23.904170676"
"Kansanterveyslaitos, SYKE","Lokkisaari",7066063,3589911,"63.684264123","28.813703397"
"Kansanterveyslaitos, SYKE","Kalettomanlahti",6907909,3331472,"62.238808642","23.754055544"
"Kansanterveyslaitos, SYKE","Hamari",7110528,3382210,"64.074468421","24.582382051"
"Kansanterveyslaitos, SYKE","Kuusela",6838170,3320398,"61.609011867","23.611381070"
"Kansanterveyslaitos, SYKE","Hautala",6760763,3486224,"60.956121103","26.742612712"
"Kansanterveyslaitos, SYKE","Särkät",6757596,3486452,"60.927707563","26.747046657"
"Kansanterveyslaitos, SYKE","Kuivajärvi",6744969,3328416,"60.777582838","23.846895455"
"Kansanterveyslaitos, SYKE","Störsvik",6666190,3350086,"60.080089871","24.303329635"
"Kansanterveyslaitos, SYKE","Silokallion kurssikeskus",6830989,3246130,"61.503020529","22.226282042"
"Kansanterveyslaitos, SYKE","Hietasaari",6930614,3412741,"62.470199878","25.305125874"
"Kansanterveyslaitos, SYKE","Andrasjön",7053316,3273937,"63.509190354","22.453200899"
"Kansanterveyslaitos, SYKE","Storsanden",7051172,3265237,"63.484377914","22.282218721"
"Kansanterveyslaitos, SYKE","Hakala",6789648,3345153,"61.184905654","24.117615739"
"Kansanterveyslaitos, SYKE","Taasjärvi",6688990,3408554,"60.301884174","25.342920737"
"Kansanterveyslaitos, SYKE","Hunttijärvi",6737880,3414805,"60.741867765","25.434903630"
"Kansanterveyslaitos, SYKE","Keravanjärvi",6725052,3395966,"60.622329637","25.096520473"
"Kansanterveyslaitos, SYKE","Sahajärvi",6735922,3416773,"60.724717867","25.471805463"
"Kansanterveyslaitos, SYKE","Sääksjärvi",6721994,3411390,"60.598607249","25.379502592"
"Kansanterveyslaitos, SYKE","Mansikkalahti",6704458,3497297,"60.451037918","26.947810764"
"Kansanterveyslaitos, SYKE","Hiekkahelmi",6708352,3263101,"60.416423177","22.695219215"
"Kansanterveyslaitos, SYKE","Harrström",6972084,3202665,"62.731824122","21.176383239"
"Kansanterveyslaitos, SYKE","Kaihu",6840753,3514996,"61.673900832","27.279953568"
"Kansanterveyslaitos, SYKE","Sankola",6780607,3391507,"61.119417579","24.983938416"
"Kansanterveyslaitos, SYKE","Hahmajärvi",6756294,3416293,"60.907379723","25.454219819"
"www.liikuntapaikat.fi","Eläintarhanlahden venesatama",6676035,3385907,"60.179946653","24.940883809"
"www.liikuntapaikat.fi","Hietalahdenaltaan venesatama",6673953,3385146,"60.161058448","24.928356945"
"www.liikuntapaikat.fi","Kuorekarinsalmen venesatama",6676687,3388754,"60.186581765","24.991795205"
"www.liikuntapaikat.fi","Susisaaren retkisatama",6886240,3435849,"62.076864516","25.769299947"
"Helsinki","Puotilan venesatama",6678779,3395062,"60.207021195","25.104336644"
"Kirkkonummi","Järvö",6652360,3359683,"59.959478215","24.485010335"
"Hamina","Hps:n veneurheilutukikohta",6716538,3510186,"60.559341821","27.182597648"
"Helsinki","Varvilahden venesatama",6672223,3388090,"60.146358691","24.982293272"
"Ilomantsi","Hiiskoski",6977685,3685318,"62.855889091","30.637261970"
"Ilomantsi","Kallioniemi, Koitajoki",6968299,3704768,"62.761520917","31.006842547"
"Ilomantsi","Pamilonkoski",6976782,3673835,"62.853437520","30.411230231"
"www.liikuntapaikat.fi","Lehtisalon laavu",7131257,3377377,"64.258552039","24.466541980"
"Ilomantsi","Liimatanlahti, Sysmäjärvi",6963142,3717084,"62.708309835","31.240638558"
"Ilomantsi","Ahvenlampi",6951274,3711705,"62.605237618","31.121007039"
"Ilomantsi","Möhkön laavu",6956103,3720424,"62.643349455","31.296564206"
"Kestilä","Isokankaan laavu",7135149,3467001,"64.313804142","26.314383672"
"Ilomantsi","Niemijoki",6942709,3714606,"62.526922642","31.166592892"
"Asikkala","Pasolanvuoren laavu",6783497,3423499,"61.152890800","25.576068886"
"Artjärvi","Lammin laavu",6738519,3453287,"60.753980632","26.140154609"
"Luumäki","Huopaisenvirran laavu",6762746,3528607,"60.973143172","27.525127268"
"Ilomantsi","Mäntykosken laavu",6977876,3682349,"62.859090918","30.579280655"
"Lapinlahti","Ketunlenkin laavu",7029951,3525691,"63.370812716","27.510092722"
"Artjärvi","Rajasuon partiomaja ja laavu",6739241,3453982,"60.760540731","26.152728548"
"Ilomantsi","Kuikkalampi",6953210,3710122,"62.623466086","31.092650486"
"Liminka","Mustajoen leiripaikka",7173981,3424783,"64.655306821","25.422117409"
"www.liikuntapaikat.fi","Mustoslähteen kota",7141832,3375424,"64.352610828","24.417438656"
"Helsinki","Pitkäkosken hiihto- ja ulkoilumaja",6685984,3384264,"60.268719660","24.905610829"
"Kärsämäki","Venetpalon hiihtomaja",7089305,3442344,"63.899386966","25.822376473"
"Pöytyä","Haukkavuoren ulkoilumaja",6743235,3258087,"60.725593234","22.561813326"
"Ilomantsi","Pamilon tulentekopaikka",6976812,3673759,"62.853742288","30.409771719"
"Ilomantsi","Mäntykosken tulentekopaikka",6977690,3682613,"62.857293761","30.584252182"
"Ilomantsi","Kangaskoski",6972463,3686764,"62.808398695","30.659776962"
"www.liikuntapaikat.fi","Tarassiinlahti",6845527,3646943,"61.688962756","29.773452556"
"Kärsämäki","Nurmesjärven lintutorni",7078644,3436338,"63.802729824","25.704512133"
"www.liikuntapaikat.fi","Liikalanlammen lintutorni",6893084,3453126,"62.140814686","26.097989873"
"www.liikuntapaikat.fi","Kaivoslahden lintutorni",6909830,3379894,"62.274687887","24.683338148"
"www.liikuntapaikat.fi","Lokalahden lintutorni",6857514,3406800,"61.813164844","25.228753256"
"Multia","Kiiskilänmäki",6934370,3405000,"62.501979684","25.153069761"
"www.liikuntapaikat.fi","Putaanlahden lintutorni",7030557,3429535,"63.370173393","25.588037775"
"www.liikuntapaikat.fi","Tammimäen näkötorni",6859105,3447311,"61.835198305","25.996592220"
"Lapinlahti","Linnasalmen lintutorni",7029645,3518579,"63.368504147","27.367903517"
"www.liikuntapaikat.fi","Kalajärven lintutorni",6949931,3455608,"62.651114920","26.130912896"
"www.liikuntapaikat.fi","Pitkäruohon lintutorni",6903514,3437083,"62.232033253","25.786714222"
"www.liikuntapaikat.fi","Vietsaaren näkötorni",7007478,3405494,"63.157676554","25.121262858"
"www.liikuntapaikat.fi","Kuhasenmäen näkötorni",6868848,3453961,"61.923476771","26.120301762"
"www.liikuntapaikat.fi","Tärttävuoren lintutorni",6945279,3431909,"62.605760338","25.670718191"
"www.liikuntapaikat.fi","Pohjarannan lintutorni",6849041,3643213,"61.721867299","29.705822830"
"www.liikuntapaikat.fi","Akonpohjan lintutorni",6844748,3642287,"61.683731477","29.684981084"
"www.liikuntapaikat.fi","Suojärven lintutorni",6934071,3462463,"62.509592793","26.268097194"
"www.liikuntapaikat.fi","Uutelanmäen näköalapaikka",6887091,3418161,"62.081070679","25.430605907"
"www.liikuntapaikat.fi","Kortteisen lintutorni",7040262,3434623,"63.458185072","25.685728732"
"www.liikuntapaikat.fi","Haapavuoren lintutorni",7029005,3434318,"63.357167174","25.684250851"
"www.liikuntapaikat.fi","Pien-hetteen lintutorni",6913012,3401817,"62.309622217","25.103497533"
"www.liikuntapaikat.fi","Torikan lintutorni",6933846,3441902,"62.504913102","25.869165884"
"www.liikuntapaikat.fi","Valkeisenjärven lintutorni",6939374,3386122,"62.541520308","24.783681437"
"www.liikuntapaikat.fi","Miehinkäisen lintutorni",6925753,3410421,"62.426051980","25.262709150"
"www.liikuntapaikat.fi","Keskisenlammen lintutorni",6913449,3473961,"62.325562446","26.494391893"
"www.liikuntapaikat.fi","Myllylahden lintutorni",6847803,3454507,"61.734724002","26.136022847"
"www.liikuntapaikat.fi","Luontoliikuntapuiston lintutorni",6675715,3345313,"60.163705283","24.210464488"
"www.liikuntapaikat.fi","Eerolanlahden lintutorni",6905624,3433821,"62.250398091","25.723197939"
"www.liikuntapaikat.fi","Hämeenlahden lintutorni",6901475,3437538,"62.213818280","25.796191544"
"Korpilahti","Hyrkkölän lintutorni",6877225,3425452,"61.994084709","25.574228716"
"www.liikuntapaikat.fi","Leväsenlammen lintutorni",6924165,3467368,"62.421184719","26.365185104"
"www.liikuntapaikat.fi","Pieni-kaihlasen lintutorni",6907553,3465871,"62.272008472","26.339502051"
"www.liikuntapaikat.fi","Välilän lintutorni",6904335,3418837,"62.235885431","25.435568392"
"www.liikuntapaikat.fi","Pyhäjärven lintutorni",6962173,3456377,"62.761030360","26.142731611"
"www.liikuntapaikat.fi","Sorvasen lintutorni",6921098,3422458,"62.387008314","25.497701144"
"www.liikuntapaikat.fi","Pyhäjärven lintutorni",6961634,3455960,"62.756144998","26.134711738"
"Ilomantsi","Muokon laavu, Muokonjärvi",6955051,3709876,"62.640081459","31.090141588"
"Ilomantsi","Puohtiin laavu",6965401,3705436,"62.735211189","31.016354135"
"Pietarsaari","Uimapakka Kilisaari",7069982,3290877,"63.668676677","22.770387356"
"Vehmaa","Rautilakeskus",6735342,3209357,"60.622592553","21.684253202"
"www.liikuntapaikat.fi","Gröna uddens",6685339,3108582,"60.091745187","19.953896150"
"www.liikuntapaikat.fi","Kasvikens badplats",6716347,3111297,"60.370542492","19.942885534"
"www.liikuntapaikat.fi","Småholmas badplats",6687546,3105490,"60.108439428","19.894503148"
"Merimasku","Uimapaikka",6717847,3219949,"60.473738312","21.901675080"
"Kärsämäki","Saviselän monttu",7101631,3454273,"64.011713986","26.061562159"
"www.liikuntapaikat.fi","Badplats",6701868,3087428,"60.218125174","19.543474161"
"Pietarsaari","Uimapaikka Itälä",7071943,3289563,"63.685438183","22.741284017"
"Rovaniemi","Keinuvuopaja",7377649,3445586,"66.485524188","25.774371816"
"www.liikuntapaikat.fi","Bölsviks simplats",6706704,3108768,"60.282225578","19.916127293"
"Heinola","Sonnasen uintipaikka",6798071,3469688,"61.289981210","26.431446982"
"Pöytyä","Kakarlampi",6743158,3277596,"60.736250138","22.918454431"
"www.liikuntapaikat.fi","Uimapaikka / niemelä",7017410,3346870,"63.226514038","23.950191013"
"Tammela","Oksjärven leirintäkeskus",6747498,3333740,"60.802505642","23.942307734"
"Tammela","Liesjärven ´Kopinlahti",6733280,3328210,"60.672748255","23.853393854"
"Inkoo","Vinterbadplats",6662616,3333451,"60.041629690","24.007791712"
"Sotkamo","avantouintipaikka",7115641,3568013,"64.133767367","28.393178162"
"Virolahti","Ukkosaaren avantouintipaikka",6718839,3540551,"60.578090967","27.736578960"
"Pyhtää","Purola",6705117,3480125,"60.456463909","26.635751239"
"Pyhtää","Koivuviikki",6718256,3476348,"60.574176730","26.565539988"
"Pyhtää","Skitunäs",6703550,3475110,"60.442120023","26.544818484"
"Pyhtää","Flakanäs",6699350,3476415,"60.404504803","26.569021380"
"Ilomantsi","Vanha rajavartioasema",6934053,3713124,"62.450314486","31.127157443"
"Ilomantsi","Möhkön satama",6955721,3719888,"62.640251278","31.285648922"
"Ilomantsi","Oinassalmi",6953395,3715448,"62.622055255","31.196379031"
"Ilomantsi","Mekrijärvi, levähdyspaikka",6966237,3704298,"62.743327378","30.995164635"
"Ilomantsi","Korvenalus, Nuorajärvi",6962722,3712679,"62.707122144","31.154265767"
"Ilomantsi","Hutunniemi, Ilomantsinjärvi",6957278,3700550,"62.665198295","30.911391281"
"www.liikuntapaikat.fi","Tervasaaren venesatama",6675350,3387102,"60.174135050","24.962783732"
"Metsähallitus","Sysilampi varaus/päivätupa",7021519,3383546,"63.277113403","24.676038248"
"Metsähallitus","Koseva autiotupa",7063513,3562684,"63.667272262","28.262601117"
"Metsähallitus","Pisa kämppä",7013820,3567130,"63.220778467","28.331517508"
"Metsähallitus","Hanhikoski autiotupa",6983281,3728895,"62.881290149","31.498163749"
"Metsähallitus","Mäntysalo kämppä",6911327,3592134,"62.296147959","28.772459183"
"Metsähallitus","BERGHAMN LUONTOTUPA",6671925,3210359,"60.056531273","21.793819933"
"Metsähallitus","Sinisimpukka luontokeskus",6654548,3243417,"59.923077673","22.406933020"
"Metsähallitus","Konungskär autiotupa",6673754,3198561,"60.064379792","21.580276250"
"Metsähallitus","Vorlokki päivä/varaustupa",7180194,3559957,"64.714150839","28.253953507"
"Metsähallitus","Luontokeskus Petola",7116086,3625920,"64.121549752","29.581607641"
"Metsähallitus","Kerojärvi autiotupa",7375722,3605822,"66.455080464","29.369584887"
"Metsähallitus","Riisitunturin autiotupa",7349237,3570695,"66.227621415","28.567304360"
"Metsähallitus","Ahmatupa Autiotupa-varaustupa",7287427,3525105,"65.680259117","27.542336082"
"Metsähallitus","Rytitupa",7296771,3532096,"65.763436174","27.696647109"
"Metsähallitus","Ristiluoma autiotupa",7244038,3604225,"65.275593398","29.228989535"
"Metsähallitus","Teerilampi autiotupa",7233897,3631453,"65.174995310","29.801859300"
"Metsähallitus","Hukantupa",7279575,3580973,"65.600709820","28.752382575"
"Metsähallitus","Pihtsusjärven autio- ja varaustupa",7693878,3274370,"69.231182057","21.289363548"
"Metsähallitus","Meekonjärven varaustupa",7686004,3275752,"69.162089867","21.342429633"
"Metsähallitus","Terbmisjärven autio -ja varaustupa",7671411,3269816,"69.026970212","21.228240848"
"Metsähallitus","Saarijärven autio- ja varaustupa",7675857,3264741,"69.062296962","21.091219300"
"Metsähallitus","Rumakuru uusi päivätupa",7588858,3520821,"68.383347291","27.502060736"
"Metsähallitus","Mukkalompolo autiotupa",7665558,3479020,"69.070892382","26.469632772"
"Metsähallitus","Sollomusjärvi autiotupa",7712782,3569164,"69.486123233","28.763583480"
"Metsähallitus","Ritakoski tupa",7602240,3497251,"68.504059498","26.928601451"
"Metsähallitus","Näljymaa kämppä",7326756,3405837,"66.019901856","24.920415856"
"Metsähallitus","Mahlatin varaustupa",7642692,3522019,"68.865859241","27.542739992"
"Metsähallitus","Iso Hirvasjärvi autiotupa",7403828,3475048,"66.724051664","26.430454933"
"Metsähallitus","Härkätunturi tupa",7511195,3604233,"67.669312695","29.453767730"
"Metsähallitus","Kärekeoja tupa",7532518,3592617,"67.864249682","29.197971857"
"Metsähallitus","Mantoselkä tupa",7552985,3582491,"68.050693360","28.972930018"
"Metsähallitus","Karhuoja tupa",7538273,3593522,"67.915519555","29.224388972"
"Metsähallitus","Tahvontupa",7560907,3565190,"68.126126435","28.563300245"
"Metsähallitus","Hirvashauta tupa",7536357,3595190,"67.897811743","29.262427072"
"Metsähallitus","Hammaskuru tupa",7565081,3554066,"68.165848514","28.298037762"
"Metsähallitus","Tuiskukuru tupa",7570039,3535128,"68.213238920","27.843625250"
"Metsähallitus","Luirojärvi tupa",7569763,3542573,"68.209754506","28.023160367"
"Metsähallitus","Lankojärvi tupa",7580705,3533748,"68.309020229","27.813720629"
"Metsähallitus","Sarvioja tupa",7581513,3545975,"68.314552486","28.110338217"
"Metsähallitus","Suomunruoktu tupa",7574427,3525949,"68.253555082","27.623187801"
"Metsähallitus","Kellokas luontokeskus",7502925,3381210,"67.589587701","24.204124380"
"Metsähallitus","Pöyrisjärven autio ja varaustupa",7627447,3370964,"68.700038036","23.812789716"
"Metsähallitus","Ailin pieti",7281950,3371093,"65.606329021","24.199496796"
"Metsähallitus","Kalla autiotupa",7281987,3371065,"65.606649283","24.198854478"
"Metsähallitus","Jyrkkävaara tupa",7589412,3551635,"68.384382426","28.251394966"
"Metsähallitus","Muorravaarakka tupa",7575195,3552197,"68.256850001","28.258003346"
"Metsähallitus","Rajankämppä",7569877,3542697,"68.210757933","28.026197728"
"Metsähallitus","Koirasalmi luontotupa",7016655,3390770,"63.235783585","24.823147848"
"Metsähallitus","Särkänmaja autiotupa",7223830,3627462,"65.086369738","29.707592799"
"Metsähallitus","Rajapää autiotupa",7710473,3589840,"69.459298468","29.289426066"
"Metsähallitus","Reimikari autiotupa",7153676,3494202,"64.481544235","26.875844389"
"Metsähallitus","Ivalojoen Kultala tupa",7602516,3487167,"68.506248534","26.682079887"
"Metsähallitus","Kellokaan savottamuseo",7502936,3381159,"67.589665587","24.202915873"
"Metsähallitus","Porraslampi autiotupa",7036053,3389160,"63.409184025","24.777765960"
"Metsähallitus","Laitasaari kalasauna",7223547,3599192,"65.093492010","29.106621681"
"Metsähallitus","Langinkoski kalahautomo",6708668,3493964,"60.488784917","26.887121897"
"Metsähallitus","Otajärvi luontotupa",6777414,3211121,"60.999817923","21.653819727"
"Metsähallitus","NOTVARPHARUN AUTIOTUPA",6662260,3229275,"59.983013163","22.144873820"
"Metsähallitus","Suomu kärrivaja",7008520,3688257,"63.130449155","30.729947170"
"Metsähallitus","Kutujärven niittypirtti",7512899,3382038,"67.679244357","24.213018658"
"Metsähallitus","Sydänmaanaro autiotupa",7208998,3612197,"64.958968917","29.371420131"
"Metsähallitus","Raatetupa",7297647,3529497,"65.771539794","27.640129660"
"Metsähallitus","Liiveri autiotupa",7286256,3548263,"65.667135519","28.045575301"
"Metsähallitus","Vinola autiotupa",7294608,3553862,"65.741139927","28.170660111"
"Metsähallitus","Lauhanvuori näkötorni",6903455,3248745,"62.152721198","22.174285586"
"Metsähallitus","Kurjenpesä",6745439,3250140,"60.740416863","22.413840066"
"Metsähallitus","Annintupa  päivätupa",7282966,3527042,"65.640097566","27.583567304"
"Metsähallitus","Vaara-Salminen autiotupa",7297888,3555771,"65.770224691","28.213654529"
"Metsähallitus","Ansakämppä autiotupa",7364011,3609576,"66.348859087","29.443429829"
"Metsähallitus","Pirunkirkko päivätupa",7179390,3545584,"64.709184254","27.952290618"
"Metsähallitus","Kuonjarjoen autio- ja varaustupa",7679764,3270234,"69.101823582","21.218983405"
"Metsähallitus","Huttuloma autiotupa",7437687,3503070,"67.028679634","27.066502312"
"Metsähallitus","Riihitupa Päivatupa",7278505,3527927,"65.600016684","27.601860108"
"Metsähallitus","Hannukurun autiotupa",7573459,3373817,"68.218032577","23.948939767"
"Metsähallitus","Nammalakuru autio ja varaustupa",7563565,3377721,"68.131147976","24.054443195"
"Metsähallitus","Montellinmaja autiotupa",7564411,3377188,"68.138494418","24.040668384"
"Metsähallitus","Mustavaara autiotupa",7547514,3379976,"67.988376776","24.126548921"
"Metsähallitus","Sioskurun autio ja varaustupa",7582631,3368824,"68.297881748","23.817184044"
"Metsähallitus","Pyhäkeron autiotupa",7587851,3365099,"68.342857741","23.720379290"
"Metsähallitus","Haltin autio- ja varaustupa",7700084,3274112,"69.286322529","21.268239395"
"Metsähallitus","Moronvuori päivätupa",6717178,3486915,"60.564990216","26.758331697"
