"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Uurainen","Uimapaikka Tehlo",6927829,3417384,"62.446285569","25.396429602"
"Uurainen","Uimapaikka Nevala",6932646,3418986,"62.489842271","25.425171616"
"Karjaa","Svartå bruks simplats",6675513,3324491,"60.153475831","23.836185815"
"Tampere","Laskettelukeskus Hervanta",6821087,3332272,"61.461307886","23.850336325"
"Lehtimäki","Valkealammen hiihtokeskus",6967328,3340036,"62.774901076","23.863048301"
"Keminmaa","Kallin kilpahiihtokeskus",7305319,3386810,"65.821606601","24.520084167"
"Keminmaa","Kallin laskettelukeskus",7305207,3387124,"65.820714106","24.527041806"
"Raahe","Hiihtomajan ampumahiihtoalue",7176385,3382399,"64.664731681","24.533889373"
"Kemi","Kemin avantouintipaikka",7294927,3387971,"65.728902509","24.554299113"
"Janakkala","Kalpalinnan hiihtokeskus",6760402,3369768,"60.931642371","24.594755895"
"Keuruu","Maastoliikuntakeskus",6902878,3377540,"62.211599836","24.642916541"
"Mänttä","Mäntänvuoren kilpahiihtokeskus",6881482,3377170,"62.019659272","24.650712676"
"Espoo","Luukkaan ulkoilualue, Kaitalampi",6691988,3370934,"60.318546826","24.661116472"
"Ylivieska","Huhmarkallion kilpahiihtokeskus",7103230,3387044,"64.010668196","24.686782782"
"Multia","Koskikalastusalue",6933567,3381061,"62.487867728","24.689460654"
"Ylivieska","Huhmarkallion rinnehiihtokeskus",7103460,3387276,"64.012805151","24.691351716"
"Riihimäki","Riutan hiihtokeskus",6737142,3374583,"60.724621348","24.698524598"
"Kauniainen","Kauniaisten pujottelurinne",6680935,3372882,"60.220038451","24.703298862"
"Tervola","Törmävaaran hiihtokeskus",7339336,3396988,"66.129874513","24.715421724"
