siteName,X,Y
Päärakennus,499827.026924203,6733375.94085863
Oikea sivurakennus,499792.262444652,6733405.88476364
Vasen sivurakennus,499836.418940856,6733425.14084412
Esikunta,601619.979263684,6791342.02203095
Päävartio,601591.992868144,6791260.05871435
Teknillinen rakennus,601911.865660073,6791188.09336269
Autotalli,601908.880664438,6791143.10252044
Lentohalli I,602059.820844276,6791360.01836785
Rantasauna,602289.723229092,6790791.25413816
Sairaala,601432.064718023,6790927.19646749
Upseerikerho,601521.029132133,6791010.15958059
Asuinrakennus 1,601820.905751644,6791021.14734406
Asuinrakennus 3,601710.947417957,6791064.12859535
Ammuslataamo,602327.027428687,6791582.29312447
Poliisitalo,595410.5204292,6783154.2986183
Kalastajien maja,493673.582110021,6705892.5550221
Keisarillinen kalastusmaja,493716.17189581,6705904.1326655
Pyydysvaja,493649.924782736,6705915.61032926
Kappeli,493663.769555309,6705933.54667837
Hautomo,493796.115356259,6705853.73292422
Lohikellari,493795.802014176,6705898.93372373
Maakellari,493757.566034176,6705927.00800929
Komendantin talo,563896.593928067,6770688.87591894
Etelä-Karjalan maakuntamuseo,563863.288962956,6770878.09740345
Päärakennus,630041.425549276,6817558.58572546
Talli -ja vajarakennus,630063.408970169,6817614.56433117
Päärakennus,521146.673843133,6798695.22530775
Liiteri,521135.632657621,6798706.26306105
Talli,521135.245102939,6798719.10044804
Hevostalli,521164.352933304,6798719.70032594
Korkea-aitta,521150.359735533,6798724.57933283
Piikojen aitta,521146.030667278,6798722.37978054
Jauhoaitta,521144.142368934,6798721.4799637
Suola-aitta,521130.685151043,6798715.33121525
Väliaitta,521142.353020722,6798720.4801672
Kartanomaan aitta,521168.385151164,6798691.33609939
Kärryliiteri,521166.356673468,6798710.70215749
Kellari,521155.356717177,6798713.70154697
Saunakota,521165.647530858,6798750.15412715
Navetta,521180.20144604,6798708.97250955
Autotalli,413903.812124803,6734281.1266107
Ylikartano eli Tivoli,413947.803704122,6734363.09992527
Seuratalo,413577.94460407,6733876.29901218
Puutarha,413912.816586774,6734198.1634976
Asuinrakennus,335130.544176908,6723175.21718635
Vaateaitta,335113.557737658,6723146.23308598
Vilja-aitta,335124.706119146,6723156.85092475
Sikala,335144.537374678,6723150.23227195
Liiteri,335138.542645875,6723159.2304404
Pihatto-lato,335153.533590805,6723141.23410351
Vanha talli,335152.420401825,6723163.84950021
Uusi talli,335151.909159479,6723169.51834633
Savusauna,335093.561565241,6723134.23552805
Uusi pihatto,335158.332672185,6723150.15228823
Riihi,335161.152750935,6723124.56749595
Akanakoppi,335181.742624142,6723121.85804745
Makasiini,335202.472676702,6723156.60097562
Pieni niittylato,335063.571429536,6723131.23613856
Suuri niittylato,335239.496517591,6723103.25183469
Pihapiiri,335177.528997707,6723106.25122417
Koulurakennus,426490.376054153,6695534.80331242
Oppilasrakennus,426424.961771353,6695507.7988091
Johtajan asuinrakennus,426453.954159898,6695534.78331649
Virastorakennus,426017.039854032,6696538.3190497
Vahtimestarin asuinrakennus,426052.414526061,6696554.12583227
"Asuinrakennus, museo",426338.322685336,6695629.59401804
Piharakennus,426327.405187488,6695595.4409698
Puutarha,426330.555100009,6695611.48770353
Torppa,323729.262644194,6694933.51570276
Aitta,323746.257329288,6694938.51468524
Päärakennus,344469.589526265,6675728.32486365
Linnan piharakennus,344443.565641667,6675764.76744587
Ulkorakennus,344438.115138587,6675795.75113923
Puisto,344491.012229746,6675705.34954021
"Koulurakennus, entinen seminaarin päärakennus",301956.21797665,6653893.89919766
"Oppilaskoti, entinen latokartanon päärakennus",301998.980925169,6653855.52700821
Ruokala,301906.577993988,6653863.03547988
"Vanha talousrakennus, entinen latokartanon asuinrakennus",301930.812530374,6653844.9491613
Johtajan asunto,301980.526725634,6653952.34730072
Luhtiaitta,302030.240920895,6653862.57557349
Laitosrakennus 1,392582.351120128,6685469.36210378
Laitosrakennus 2,392544.148123505,6685429.10029895
Vilja-aitta,392595.651666977,6685581.86920328
Henkilökunnan kellari,392581.221439459,6685589.01774822
Kalustovaja,392525.652694749,6685669.57135177
Talli,392505.400901158,6685671.24101191
Navetta,392477.142392755,6685673.38057641
Tallimiehen asuinrakennus,392459.677694537,6685711.55280656
Kartanon päärakennus,381124.783454249,6691764.76069366
Pappila (nyk. asuinrakennus),221182.854528012,6688984.54659817
Kellotapuli,221465.365399437,6688906.43249807
Laitosrakennus Lepola,271111.202610651,6677757.77177562
Laitosrakennus Toivola,271111.499461046,6677808.141523
Talousrakennus,271238.452479826,6677726.1782064
Pesula-sauna,271085.508559825,6677694.18471858
Päärakennus,271203.168512084,6677592.70537441
Kalustovaja,271251.579863946,6677589.6559951
Vilja-aitta,271319.410179124,6677716.18024146
Päärakennus,250716.871355238,6708119.51173152
Päärakennus (nyk. sivurakennus),250716.566258999,6708085.49865478
Aitta,250750.514399966,6708118.8618638
Aitta,250755.470152388,6708141.12733173
Puuvaja,250766.610288032,6708156.60418146
Päärakennus,248895.512775455,6706423.51694634
Voutila,248994.561857138,6706447.25211512
Paja,248982.036419653,6706484.79447348
Tornirakennus,249052.208554611,6706460.37944309
Viljamakasiini,248944.806432656,6706381.90541625
Huvimaja,248839.76262217,6706443.33291286
Päärakennus,203788.955128264,6789870.80149363
"Johtajan asuinrakennus, nykyisin kirjasto",203817.271357577,6789917.16205707
"Paja, nykyisin kalustorakennus",203788.971619953,6789958.7635892
"Verstas, nykyinen Aineopetus II",203771.968689015,6789939.7674558
Normaalikoulu,203711.534896169,6789879.42973737
Maaherran makasiini ja maanmittauskonttori,240501.094856956,6711126.12974315
Korkkitehdas,238877.826194695,6710314.11502639
Arkkipiispantalo,240478.748618914,6711449.37394773
Ulkorakennus,240461.184970564,6711490.20563655
Akatemiatalo,240460.632498996,6711046.62592592
Päälinna,237471.843775477,6709414.2681876
Esilinna,237575.733167762,6709412.95845419
Huvila,394788.658695024,6703461.43986854
Sauna,394786.65495486,6703412.45983828
Liiteri 1 eli puuvaja,394814.641350401,6703463.43946153
Pääärakennus Paatela,394408.978794416,6703795.38189561
Maatalousnormaalikoulun koulurakennus,394916.469281612,6704248.1297401
Karjanhoitokoulun koulurakennus,394882.174815185,6703996.62093398
Rehtorin asuinrakennus,394848.490541236,6704256.38805914
Yliopettajan asuinrakennus,394875.264797665,6704188.71183444
Lehtorien asuinrakennus,395023.54981564,6703994.27141222
Lehtorienmäen ulkorakennus,395015.081333548,6704024.77520326
Päärakennus,362436.632825493,6674190.02797952
Piharakennus,362469.014256044,6674168.34239356
Päärakennus,405435.313541149,6714207.16260784
Vanha päärakennus,405493.298318238,6714203.5233486
Aitta,405466.466340899,6714247.01449611
Päärakennus,416989.588468931,6732133.01385282
Päärakennus,413944.793970954,6734234.14617343
Ylösnousemuskappeli,242008.459931793,6708893.31422627
Vanha rautatiesilta,479132.085169137,6746557.24784183
Rautatiesilta,479140.965943443,6746547.03991963
harjoituskoulu,362127.141551533,6765172.38878389
Kirkko,535101.627387556,6973328.08929484
Kirkko,513628.137751597,6714734.04536239
